Year,Station,StartDepth,EndDepth
2000,4,6.4008,5.7912
2000,6,7.3152,3.3528
2000,7,2.19456,3.3528
2000,8,3.9624,2.7432
2000,2,4.2672,3.048
2000,3,10.0584,10.9728
2000,9,3.048,5.7912
2000,4,9.144,5.7912
2000,7,2.286,4.2672
2000,2,3.3528,4.572
2000,9,3.6576,3.6576
2000,5,3.048,5.4864
2000,9,2.1336,5.7912
2000,1,2.4384,4.8768
2000,9,2.95656,6.4008
2000,6,7.0104,3.048
2000,3,9.7536,5.4864
2000,5,3.3528,4.572
2000,9,3.9624,6.096
2000,1,2.34696,5.7912
2000,9,2.56032,6.096
2000,2,4.2672,2.1336
2000,8,3.6576,0
2000,4,7.0104,0
2000,7,2.4384,4.8768
2000,4,9.144,5.4864
2000,2,4.572,5.7912
2000,8,3.9624,1.8288
2000,5,3.3528,6.4008
2000,6,9.144,3.6576
2000,9,3.6576,6.7056
2000,1,3.048,5.7912
2000,9,3.048,6.7056
2000,2,4.8768,3.9624
2000,4,5.4864,6.096
2000,7,2.5908,2.5908
2000,8,4.2672,1.8288
2001,8,3.6576,0
2001,9,3.048,6.7056
2001,3,9.144,5.1816
2001,2,4.8768,1.8288
2001,5,3.3528,5.4864
2001,8,4.2672,2.1336
2001,1,3.048,5.7912
2001,9,2.7432,0
2001,6,7.9248,15.24
2001,8,4.2672,4.8768
2001,9,3.048,7.0104
2001,2,4.572,3.3528
2001,4,5.4864,5.4864
2001,7,2.80416,4.2672
2001,2,4.572,1.8288
2001,6,4.8768,5.4864
2001,5,3.3528,0
2001,1,1.524,2.1336
2001,3,11.5824,3.9624
2001,4,6.7056,5.4864
2001,8,3.3528,1.8288
2001,9,3.048,6.4008
2001,4,6.096,5.4864
2001,7,2.46888,2.7432
2001,3,9.7536,8.2296
2001,5,3.3528,5.7912
2001,6,8.8392,5.7912
2001,7,3.048,4.2672
2001,1,2.286,2.1336
2001,4,9.7536,5.4864
2001,5,2.8956,6.096
2001,9,3.3528,6.4008
2001,6,7.9248,0
2001,7,2.40792,4.572
2001,8,3.9624,0
2001,2,4.2672,2.4384
2001,4,9.7536,0
2001,6,4.572,0
2001,1,3.048,0
2001,3,10.3632,3.9624
2001,4,10.0584,0
2001,8,4.572,0
2001,3,9.4488,0
2001,6,4.572,0
2001,4,7.62,4.572
2001,5,3.6576,3.048
2001,6,4.8768,4.572
2001,9,2.7432,5.1816
2001,1,3.048,2.7432
2001,2,4.572,0.9144
2001,3,10.668,5.4864
2001,7,2.4384,3.9624
2001,9,2.7432,6.096
2002,1,1.2192,1.2192
2002,2,4.2672,0.9144
2002,4,9.144,3.6576
2002,6,8.8392,3.048
2002,7,2.4384,3.3528
2002,9,3.048,6.4008
2002,2,4.2672,1.2192
2002,3,9.4488,4.8768
2002,7,1.8288,3.3528
2002,4,3.3528,6.4008
2002,5,3.3528,3.6576
2002,8,3.9624,3.9624
2002,4,3.6576,6.4008
2002,7,2.7432,4.572
2002,9,3.048,6.096
2002,2,4.2672,1.8288
2002,5,2.8956,6.4008
2002,3,10.0584,8.5344
2002,6,9.4488,3.6576
2002,6,7.9248,3.048
2002,4,3.6576,6.096
2002,5,3.6576,5.7912
2002,7,2.8956,4.8768
2002,2,7.0104,10.3632
2002,4,3.3528,5.4864
2002,6,4.8768,4.8768
2002,1,1.8288,2.71272
2002,8,4.572,2.62128
2002,2,4.2672,10.0584
2002,4,0,0
2002,7,2.7432,4.572
2002,6,5.4864,2.1336
2002,7,2.1336,0
2002,9,3.048,4.2672
2002,4,9.7536,3.048
2002,3,10.0584,6.096
2002,2,4.572,9.7536
2002,3,9.7536,5.1816
2002,5,3.6576,4.572
2002,6,7.62,6.7056
2002,6,7.9248,5.7912
2002,2,5.1816,10.668
2002,7,2.7432,4.8768
2002,9,3.048,4.8768
2002,3,9.4488,0
2002,5,3.3528,4.8768
